pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,771.6464508980562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,777.7693883118998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,787.0540183253449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,785.5116659024058
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,778.8164989131899
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,775.3673864593445
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,769.9158909628808
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,771.6464508980562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,777.7693883118998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,787.0540183253449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,785.5116659024058
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,778.8164989131899
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,775.3673864593445
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,769.9158909628808
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,771.6464508980562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,777.7693883118998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,787.0540183253449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,785.5116659024058
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,778.8164989131899
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,775.3673864593445
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,769.9158909628808
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,771.6464508980562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,777.7693883118998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,787.0540183253449
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,785.5116659024058
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,778.8164989131899
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,775.3673864593445
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,769.9158909628808
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,771.6464508980562
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,777.7693883118998
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,787.0540183253449
